date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:34	211/211	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Sep%202022%2014:55:34%20GMT	https://vile.sh/robots.txt		(from )
16:55:34	12526/12526	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Sep%202022%2016:37:50%20GMT	https://vile.sh/	C:/My%20Web%20Sites/Sat178/vile.sh/index.html	(from )
16:55:34	5365/5365	---M-Z	200	added ('OK')	text/css	etag:%2214f5-5e17c634e3076-gzip%22	https://vile.sh/cosmo.css	C:/My%20Web%20Sites/Sat178/vile.sh/cosmo.css	(from https://vile.sh/)
16:55:35	1395/1395	---M-Z	200	added ('OK')	text/css	etag:%22573-5e168ff48d3b1-gzip%22	https://vile.sh/anim.css	C:/My%20Web%20Sites/Sat178/vile.sh/anim.css	(from https://vile.sh/)
16:55:35	4894/4894	---M-Z	200	added ('OK')	text/css	etag:%22131e-5e17deaf5aa46-gzip%22	https://vile.sh/css/style.css	C:/My%20Web%20Sites/Sat178/vile.sh/css/style.css	(from https://vile.sh/)
16:55:35	482/482	---M-Z	200	added ('OK')	text/css	etag:%221e2-5e168e67559cd-gzip%22	https://vile.sh/assets/vile.css	C:/My%20Web%20Sites/Sat178/vile.sh/assets/vile.css	(from https://vile.sh/)
16:55:35	71444/71444	---M--	200	added ('OK')	image/gif	etag:%2211714-5e1e0d3f12614%22	https://vile.sh/assets/media/favicon.gif	C:/My%20Web%20Sites/Sat178/vile.sh/assets/media/favicon.gif	(from https://vile.sh/)
16:55:35	41720/41720	---M--	200	added ('OK')	image/png	etag:%22a2f8-5e168fa711dd9%22	https://vile.sh/angelina_kapllani.png	C:/My%20Web%20Sites/Sat178/vile.sh/angelina_kapllani.png	(from https://vile.sh/)
16:55:36	10691/10691	---M-Z	200	added ('OK')	application/javascript	etag:%2229c3-5e168e7bc9122-gzip%22	https://vile.sh/js/audio.js	C:/My%20Web%20Sites/Sat178/vile.sh/js/audio.js	(from https://vile.sh/)
16:55:36	1089797/1089797	---M--	200	added ('OK')	audio/mpeg	etag:%2210a105-5e168e6e0495c%22	https://vile.sh/assets/media/vile.mp3	C:/My%20Web%20Sites/Sat178/vile.sh/assets/media/vile.mp3	(from https://vile.sh/)
16:55:36	5535/5535	---M-Z	200	added ('OK')	application/javascript	etag:%22159f-5e168e79d02d8-gzip%22	https://vile.sh/js/sparkle.js	C:/My%20Web%20Sites/Sat178/vile.sh/js/sparkle.js	(from https://vile.sh/)
16:55:36	1592/1592	---M-Z	200	added ('OK')	application/javascript	etag:%22638-5e168e7ad1fed-gzip%22	https://vile.sh/js/disable_inspect.js	C:/My%20Web%20Sites/Sat178/vile.sh/js/disable_inspect.js	(from https://vile.sh/)
